CLIN,PartNO,Description,Price
15S-34,L451AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 20 CPU cores, 4 GPUs, dual power supplies, 6 Gi","$43,423.27"
15S-656,L451AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$9,436.96"
15S-657,L451AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$11,796.21"
15S-658,L451AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$7,077.72"
15S-35,L452AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 20 CPU cores, 4 GPUs, dual power supplies, 6 Gi","$50,666.52"
15S-659,L452AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$11,011.10"
15S-660,L452AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$13,763.88"
15S-661,L452AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$8,258.33"
15S-36,L453AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 20 CPU cores, 4 GPUs, dual power supplies, 6 Gi","$56,461.12"
15S-662,L453AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$12,270.41"
15S-663,L453AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$15,338.02"
15S-664,L453AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$9,202.81"
15S-37,L454AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 20 CPU cores, 4 GPUs, dual power supplies, 6 Gi","$57,185.44"
15S-665,L454AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$12,427.83"
15S-666,L454AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$15,534.79"
15S-667,L454AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$9,320.87"
15S-38,L455AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 20 CPU cores, 4 GPUs, dual power supplies, 2 x","$46,320.57"
15S-668,L455AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$10,066.62"
15S-669,L455AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$12,583.27"
15S-670,L455AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$7,549.96"
15S-926,L482AE,"Elemental® Live 480 AE series
(1RU 6 GigE Ports, 8 HD-SDI or
4 3G-SDI, 1 LTC input)","$79,950.00"
15S-45,L500SE,"Solution includes:  Elemental Live 500 Software Edition. License only; no hardware. Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.2","$43,423.27"
15S-671,L500SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$9,436.96"
15S-672,L500SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$11,796.21"
15S-673,L500SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$7,077.72"
15S-39,L501AE,"Live UHDTV video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264 for 4K/UHDTV; MPEG-2, VC-1 for Full HD. Platform: 1RU, 24 CPU cores, 4 GPUs","$57,909.77"
15S-674,L501AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$12,585.24"
15S-675,L501AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$15,731.55"
15S-676,L501AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$9,438.93"
15S-40,L502AE,"Live UHDTV video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264 for 4K/UHDTV; MPEG-2, VC-1 for Full HD. Platform: 1RU, 24 CPU cores, 4 GPUs","$52,115.17"
15S-677,L502AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$11,325.93"
15S-678,L502AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$14,157.41"
15S-679,L502AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$8,494.45"
15S-934,L508AE,"Elemental® Live 500 AE series (1RU, 16 HD-SDI or 8 3G-SDI, LTC input, 6 GigE Ports)","$104,950.00"
15S-109,LUP24AE,"SW: License for 4xx level Elemental Live software providing load balancing, system configuration and capabilities for up to 4 GPU chips. Requires 4xx level Support and maintenance contract and Systems Engineering ONSITE to be purchased.HW: GPU upgrade","$16,659.47"
15S-680,LUP24AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,620.52"
15S-681,LUP24AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$4,525.65"
15S-682,LUP24AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,715.39"
15S-110,LUP24SE,"SW: License for 4xx level Elemental Server software providing load balancing, system configuration and capabilities for up to 4 GPU chips. Requires 4xx level Support and maintenance contract.HW: None","$15,210.82"
15S-683,LUP24SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,305.69"
15S-684,LUP24SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$4,132.12"
15S-685,LUP24SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,479.27"
15S-46,M401AE,"Statistical multiplexor. Controls external Elemental Live encoders, combining the encoded outputs into coherent, bitrate-capped MPTS. Platform: 1RU, 16 CPU cores, 2 10-GigE ports, 6 GigE Ports, redundant power supplies","$28,936.77"
15S-686,M401AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$6,288.69"
15S-687,M401AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,860.86"
15S-688,M401AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,716.51"
15S-92,PO150G-EL-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$1,517.46"
15S-689,PO150G-EL-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$329.79
15S-690,PO150G-EL-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$412.23
15S-691,PO150G-EL-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$247.33
15S-84,PO150G-EL-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc",$575.84
15S-692,PO150G-EL-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$125.15
15S-693,PO150G-EL-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$156.43
15S-694,PO150G-EL-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$93.86
15S-68,PO150G-EL-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-695,PO150G-EL-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-696,PO150G-EL-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-697,PO150G-EL-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-76,PO150G-EL-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Live",$938.00
15S-698,PO150G-EL-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-699,PO150G-EL-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-700,PO150G-EL-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-91,PO150G-ES-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$1,517.46"
15S-701,PO150G-ES-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$329.79
15S-702,PO150G-ES-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$412.23
15S-703,PO150G-ES-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$247.33
15S-83,PO150G-ES-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc",$575.84
15S-704,PO150G-ES-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$125.15
15S-705,PO150G-ES-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$156.43
15S-706,PO150G-ES-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$93.86
15S-67,PO150G-ES-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-707,PO150G-ES-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-708,PO150G-ES-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-709,PO150G-ES-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-75,PO150G-ES-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Server",$938.00
15S-710,PO150G-ES-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-711,PO150G-ES-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-712,PO150G-ES-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-94,PO200G-EL-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$2,024.49"
15S-713,PO200G-EL-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$439.98
15S-714,PO200G-EL-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$549.96
15S-715,PO200G-EL-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$329.98
15S-86,PO200G-EL-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc","$1,010.43"
15S-716,PO200G-EL-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$219.60
15S-717,PO200G-EL-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$274.49
15S-718,PO200G-EL-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$164.69
15S-70,PO200G-EL-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-719,PO200G-EL-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-720,PO200G-EL-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-721,PO200G-EL-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-78,PO200G-EL-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Live",$938.00
15S-722,PO200G-EL-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-723,PO200G-EL-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-724,PO200G-EL-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-93,PO200G-ES-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$2,024.49"
15S-725,PO200G-ES-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$439.98
15S-726,PO200G-ES-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$549.96
15S-727,PO200G-ES-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$329.98
15S-85,PO200G-ES-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc","$1,010.43"
15S-728,PO200G-ES-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$219.60
15S-729,PO200G-ES-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$274.49
15S-730,PO200G-ES-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$164.69
15S-69,PO200G-ES-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-731,PO200G-ES-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-732,PO200G-ES-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-733,PO200G-ES-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-77,PO200G-ES-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Server",$938.00
15S-734,PO200G-ES-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-735,PO200G-ES-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-736,PO200G-ES-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-96,PO400G-EL-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$2,531.51"
15S-737,PO400G-EL-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$550.17
15S-738,PO400G-EL-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$687.70
15S-739,PO400G-EL-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$412.62
15S-88,PO400G-EL-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc","$1,517.46"
15S-740,PO400G-EL-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$329.79
15S-741,PO400G-EL-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$412.23
15S-742,PO400G-EL-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$247.33
15S-72,PO400G-EL-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-743,PO400G-EL-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-744,PO400G-EL-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
